Product Name,Category,Price (₹),Rating,Stock
Dishwasher,Home Appliances,33670.5,4.2,52
LED Ceiling Light,Home Essentials,23677.45,4.5,91
Noise-Canceling Headphones,Study Essentials,38576.71,4.1,166
Refrigerator,Home Appliances,37957.47,5.0,148
Vacuum Cleaner,Home Appliances,13048.09,3.1,41
Desk Organizer,Study Essentials,14127.48,5.0,158
Leather Jacket,Stylish Wear,42960.24,3.6,158
Laptop,Study Essentials,19472.05,3.1,96
Scientific Calculator,Study Essentials,43223.25,3.8,84
Desk Organizer,Study Essentials,10933.8,3.2,154
Wall Clock,Home Essentials,26005.37,3.2,125
LED Ceiling Light,Home Essentials,27489.74,3.6,183
Air Purifier,Home Appliances,9384.55,3.7,95
Dining Table,Home Essentials,18625.16,3.8,186
Laptop,Study Essentials,37046.77,3.1,195
Floor Lamp,Home Essentials,39710.0,4.2,183
Ergonomic Chair,Study Essentials,21176.28,4.6,147
Air Purifier,Home Appliances,33752.12,3.1,91
Floor Lamp,Home Essentials,21200.54,4.8,195
Mechanical Keyboard,Study Essentials,44751.24,3.8,28
Notebook Set,Study Essentials,27127.62,4.9,142
Formal Shoes,Stylish Wear,13088.44,3.7,146
Dishwasher,Home Appliances,44277.24,3.3,105
Dishwasher,Home Appliances,13158.89,3.8,150
Refrigerator,Home Appliances,23901.72,4.6,88
Floor Lamp,Home Essentials,6495.48,3.6,124
Wall Clock,Home Essentials,15061.03,3.8,77
Mattress,Home Essentials,49380.74,4.8,135
Desk Organizer,Study Essentials,39117.13,3.5,15
Blender,Home Appliances,31932.25,4.2,181
Summer Dress,Stylish Wear,37554.88,4.7,111
Mechanical Keyboard,Study Essentials,2510.66,4.2,199
Blender,Home Appliances,29050.28,4.0,168
Hoodie,Stylish Wear,6183.53,4.2,165
Wristwatch,Stylish Wear,3885.02,4.7,109
Refrigerator,Home Appliances,36166.62,3.4,114
Laptop,Study Essentials,15984.59,3.9,50
Sunglasses,Stylish Wear,13478.19,3.3,197
Bookshelf,Home Essentials,42540.05,4.7,54
Air Purifier,Home Appliances,40611.15,4.8,157
Wall Clock,Home Essentials,17832.13,3.4,182
Hoodie,Stylish Wear,4071.47,3.9,174
Induction Cooktop,Home Appliances,20437.27,4.9,67
Blender,Home Appliances,36473.28,4.1,92
Whiteboard,Study Essentials,22762.61,4.5,179
Dishwasher,Home Appliances,25318.66,4.0,74
Sportswear Set,Stylish Wear,33219.36,3.5,122
Coffee Table,Home Essentials,27609.15,3.8,67
Washing Machine,Home Appliances,9679.7,3.4,79
Backpack,Study Essentials,9844.44,3.3,143
LED Ceiling Light,Home Essentials,24813.8,3.2,112
Laptop,Study Essentials,38244.08,3.0,104
Sneakers,Stylish Wear,41573.71,4.1,139
Sneakers,Stylish Wear,27293.35,4.7,95
Notebook Set,Study Essentials,23456.39,4.9,18
Sportswear Set,Stylish Wear,49810.55,3.1,199
Sneakers,Stylish Wear,2595.65,4.9,166
Mattress,Home Essentials,3250.13,4.1,140
Electric Kettle,Home Appliances,20990.98,4.9,155
Microwave Oven,Home Appliances,37074.83,4.6,170
Hoodie,Stylish Wear,3038.82,4.5,118
Bookshelf,Home Essentials,43895.39,3.9,58
LED Ceiling Light,Home Essentials,21181.63,4.2,108
Dishwasher,Home Appliances,49279.81,5.0,40
Desk Lamp,Study Essentials,24781.74,4.3,53
Dining Table,Home Essentials,7815.33,3.1,122
Blender,Home Appliances,20532.53,4.5,40
Dishwasher,Home Appliances,43939.14,4.6,78
Summer Dress,Stylish Wear,9487.28,4.9,198
Curtains,Home Essentials,32173.91,4.3,157
Curtains,Home Essentials,5823.06,3.3,105
Air Purifier,Home Appliances,31662.27,4.2,197
Backpack,Study Essentials,43899.77,4.6,68
Hoodie,Stylish Wear,20832.98,4.9,26
Whiteboard,Study Essentials,36266.07,3.3,172
Wall Clock,Home Essentials,33856.29,4.0,118
Sportswear Set,Stylish Wear,28719.75,4.4,55
Slim-fit Jeans,Stylish Wear,16135.39,3.4,81
Sportswear Set,Stylish Wear,19372.51,5.0,65
Dishwasher,Home Appliances,2100.47,3.6,174
Sportswear Set,Stylish Wear,38232.12,3.1,134
Refrigerator,Home Appliances,45146.95,4.8,85
Summer Dress,Stylish Wear,33261.63,4.1,51
Sneakers,Stylish Wear,22722.48,4.5,104
Noise-Canceling Headphones,Study Essentials,37003.52,3.7,175
Backpack,Study Essentials,13368.5,3.7,19
Laptop,Study Essentials,20664.1,4.5,165
Bookshelf,Home Essentials,23936.01,4.8,66
Water Heater,Home Appliances,9127.44,4.7,82
Refrigerator,Home Appliances,8600.97,4.4,83
Sofa Set,Home Essentials,43324.55,4.3,19
Hoodie,Stylish Wear,35931.7,3.6,17
Formal Shoes,Stylish Wear,24685.14,4.4,32
Formal Shoes,Stylish Wear,944.14,3.6,114
Ergonomic Chair,Study Essentials,24817.83,3.7,109
Noise-Canceling Headphones,Study Essentials,37183.14,3.2,112
Blender,Home Appliances,2050.46,4.4,65
Hoodie,Stylish Wear,5294.31,4.8,91
Designer Handbag,Stylish Wear,49220.96,4.2,91
Desk Lamp,Study Essentials,36946.54,3.8,155
Notebook Set,Study Essentials,14309.48,4.5,106
Induction Cooktop,Home Appliances,42805.2,3.0,91
Floor Lamp,Home Essentials,6062.65,4.7,181
Hoodie,Stylish Wear,22530.05,4.9,191
Summer Dress,Stylish Wear,519.7,4.2,128
Microwave Oven,Home Appliances,39482.62,3.5,169
Coffee Table,Home Essentials,17657.26,4.3,149
Bookshelf,Home Essentials,22156.15,3.4,9
Desk Lamp,Study Essentials,16906.42,3.4,148
Designer Handbag,Stylish Wear,14981.54,4.7,165
Curtains,Home Essentials,30773.26,4.4,92
Leather Jacket,Stylish Wear,1461.95,3.0,119
Leather Jacket,Stylish Wear,40022.17,4.7,125
Summer Dress,Stylish Wear,15304.26,3.5,192
Desk Organizer,Study Essentials,16467.12,3.1,132
Microwave Oven,Home Appliances,9088.98,4.9,117
Noise-Canceling Headphones,Study Essentials,20279.1,4.5,78
Curtains,Home Essentials,5869.33,5.0,153
Summer Dress,Stylish Wear,37701.64,3.4,195
Vacuum Cleaner,Home Appliances,42961.14,4.8,130
Sportswear Set,Stylish Wear,27419.58,4.4,54
Desk Lamp,Study Essentials,15310.19,4.9,108
Wall Clock,Home Essentials,36423.87,3.2,32
Leather Jacket,Stylish Wear,47225.25,3.7,169
Dining Table,Home Essentials,9791.0,4.4,42
Refrigerator,Home Appliances,12189.49,4.2,185
Summer Dress,Stylish Wear,26488.77,3.1,31
Bookshelf,Home Essentials,7634.41,3.5,105
Laptop,Study Essentials,35812.76,3.8,86
Dishwasher,Home Appliances,44189.17,3.1,96
Dining Table,Home Essentials,28782.73,4.3,116
Sunglasses,Stylish Wear,13584.2,4.8,24
Refrigerator,Home Appliances,4402.78,3.7,36
Formal Shoes,Stylish Wear,38464.59,4.8,111
Sofa Set,Home Essentials,13130.84,4.6,25
Formal Shoes,Stylish Wear,47027.59,3.5,60
Hoodie,Stylish Wear,36136.32,4.1,137
Scientific Calculator,Study Essentials,16881.93,4.3,161
Ergonomic Chair,Study Essentials,31669.23,3.0,20
Summer Dress,Stylish Wear,1436.09,3.0,31
Sneakers,Stylish Wear,49697.45,3.7,96
LED Ceiling Light,Home Essentials,48063.33,4.0,136
Desk Organizer,Study Essentials,5442.54,4.6,198
Vacuum Cleaner,Home Appliances,31837.28,4.2,115
Sofa Set,Home Essentials,42152.28,4.7,11
Formal Shoes,Stylish Wear,35949.01,3.1,54
Microwave Oven,Home Appliances,11210.61,4.4,196
LED Ceiling Light,Home Essentials,13029.06,4.5,162
Mattress,Home Essentials,46442.19,3.1,116
Wristwatch,Stylish Wear,25507.8,3.3,14
Mattress,Home Essentials,20196.14,4.1,125
Designer Handbag,Stylish Wear,15670.27,3.6,61
Slim-fit Jeans,Stylish Wear,27289.01,3.1,63
Microwave Oven,Home Appliances,49623.46,4.6,130
Mattress,Home Essentials,22034.44,4.8,26
Notebook Set,Study Essentials,37004.3,4.1,59
Blender,Home Appliances,35860.48,4.9,174
Wall Clock,Home Essentials,30663.54,3.1,10
Air Purifier,Home Appliances,46344.8,4.5,5
Dining Table,Home Essentials,28111.76,4.0,99
Hoodie,Stylish Wear,45616.52,3.2,98
Coffee Table,Home Essentials,13682.57,3.0,95
Desk Lamp,Study Essentials,14892.46,3.6,157
Vacuum Cleaner,Home Appliances,46524.15,3.9,29
Slim-fit Jeans,Stylish Wear,26970.75,3.0,9
Dishwasher,Home Appliances,1060.18,4.2,101
Bookshelf,Home Essentials,30381.11,3.2,92
Sportswear Set,Stylish Wear,21261.53,4.3,46
Backpack,Study Essentials,37798.57,4.6,88
Leather Jacket,Stylish Wear,38852.46,3.2,91
Air Purifier,Home Appliances,12578.17,3.5,115
Bookshelf,Home Essentials,48538.83,4.4,104
Desk Organizer,Study Essentials,14300.32,4.7,39
Desk Organizer,Study Essentials,48615.21,3.9,117
Microwave Oven,Home Appliances,18580.08,4.9,154
Whiteboard,Study Essentials,47994.81,4.1,22
Whiteboard,Study Essentials,15018.46,3.8,195
Whiteboard,Study Essentials,23140.5,3.9,18
Sportswear Set,Stylish Wear,18460.48,4.5,189
Sofa Set,Home Essentials,20519.86,5.0,99
Curtains,Home Essentials,40269.39,4.3,58
Air Purifier,Home Appliances,42089.94,3.9,19
Bookshelf,Home Essentials,7114.55,4.8,121
Slim-fit Jeans,Stylish Wear,35682.13,4.1,130
Electric Kettle,Home Appliances,33089.79,4.3,186
Scientific Calculator,Study Essentials,37231.69,3.1,167
Air Purifier,Home Appliances,31926.24,4.9,158
Floor Lamp,Home Essentials,45060.0,3.4,159
Coffee Table,Home Essentials,3519.13,4.2,33
Coffee Table,Home Essentials,29991.68,4.8,152
Curtains,Home Essentials,47465.8,4.5,121
Wall Clock,Home Essentials,11139.44,3.3,52
Rug,Home Essentials,30493.4,4.3,71
Induction Cooktop,Home Appliances,14538.95,3.2,59
Slim-fit Jeans,Stylish Wear,17735.06,3.9,200
Leather Jacket,Stylish Wear,21862.58,3.7,190
Air Purifier,Home Appliances,47593.9,3.7,14
Notebook Set,Study Essentials,48377.64,3.1,162
Designer Handbag,Stylish Wear,24990.76,4.4,144
Designer Handbag,Stylish Wear,44469.52,4.3,186
Air Purifier,Home Appliances,8482.22,4.6,199
Induction Cooktop,Home Appliances,19276.5,5.0,60
Sofa Set,Home Essentials,20750.91,4.4,116
Slim-fit Jeans,Stylish Wear,10909.78,3.6,56
Designer Handbag,Stylish Wear,41435.48,4.6,149
Hoodie,Stylish Wear,13339.74,3.2,106
Electric Kettle,Home Appliances,21933.05,3.8,31
Electric Kettle,Home Appliances,19673.31,3.0,65
Sofa Set,Home Essentials,2207.09,3.0,107
Wall Clock,Home Essentials,14582.77,3.0,48
Sneakers,Stylish Wear,7236.45,4.8,106
Sofa Set,Home Essentials,16011.4,4.8,153
Vacuum Cleaner,Home Appliances,23445.11,3.4,154
Air Purifier,Home Appliances,43435.57,4.1,30
Dining Table,Home Essentials,30213.34,5.0,70
Vacuum Cleaner,Home Appliances,41298.24,4.9,180
Sportswear Set,Stylish Wear,14887.77,4.6,198
Sunglasses,Stylish Wear,19554.02,4.8,112
Hoodie,Stylish Wear,49569.7,4.7,115
Formal Shoes,Stylish Wear,35306.02,3.2,93
Blender,Home Appliances,41486.93,3.9,67
Dining Table,Home Essentials,17649.8,4.2,31
Laptop,Study Essentials,42742.19,3.8,78
Ergonomic Chair,Study Essentials,2611.01,4.6,92
Notebook Set,Study Essentials,19867.34,3.9,115
Summer Dress,Stylish Wear,34923.09,4.1,153
Desk Lamp,Study Essentials,40376.08,4.3,166
Noise-Canceling Headphones,Study Essentials,18926.51,4.0,62
Dishwasher,Home Appliances,2620.91,4.3,108
Formal Shoes,Stylish Wear,31210.22,4.7,49
Bookshelf,Home Essentials,30200.38,4.1,112
Dining Table,Home Essentials,25575.36,4.7,121
Leather Jacket,Stylish Wear,10566.91,4.3,81
Summer Dress,Stylish Wear,957.79,4.1,34
Sunglasses,Stylish Wear,7544.61,3.2,40
Whiteboard,Study Essentials,1741.77,3.5,77
Dining Table,Home Essentials,15221.49,4.3,13
Noise-Canceling Headphones,Study Essentials,47472.31,3.2,124
Formal Shoes,Stylish Wear,27001.45,3.2,88
Electric Kettle,Home Appliances,38626.14,4.0,142
Laptop,Study Essentials,5697.15,4.3,42
Desk Lamp,Study Essentials,40232.29,4.4,170
Sneakers,Stylish Wear,22207.17,4.2,52
Vacuum Cleaner,Home Appliances,29278.17,4.8,176
Dining Table,Home Essentials,49308.42,4.3,18
Floor Lamp,Home Essentials,43109.81,4.0,102
Laptop,Study Essentials,33297.89,4.9,46
Microwave Oven,Home Appliances,23984.27,3.3,74
LED Ceiling Light,Home Essentials,38931.31,3.1,82
Coffee Table,Home Essentials,3453.83,3.9,166
Ergonomic Chair,Study Essentials,37538.51,3.5,16
Formal Shoes,Stylish Wear,49087.38,4.3,193
Bookshelf,Home Essentials,9563.54,4.0,117
Air Purifier,Home Appliances,17396.55,4.4,8
Mechanical Keyboard,Study Essentials,49172.53,3.4,103
LED Ceiling Light,Home Essentials,37271.99,4.3,173
Water Heater,Home Appliances,37873.5,3.8,121
Mechanical Keyboard,Study Essentials,21904.24,4.6,187
Noise-Canceling Headphones,Study Essentials,19227.38,4.8,52
Wristwatch,Stylish Wear,44620.34,4.4,29
Sportswear Set,Stylish Wear,32184.6,4.8,11
Ergonomic Chair,Study Essentials,14368.95,4.5,91
Noise-Canceling Headphones,Study Essentials,46997.14,3.3,62
Blender,Home Appliances,38612.12,3.7,161
Sneakers,Stylish Wear,2819.18,4.4,90
Sportswear Set,Stylish Wear,39271.67,3.4,107
Induction Cooktop,Home Appliances,32735.22,3.4,30
Leather Jacket,Stylish Wear,3445.56,3.5,187
Mattress,Home Essentials,29979.09,4.9,188
Desk Lamp,Study Essentials,44884.06,4.4,35
Electric Kettle,Home Appliances,9570.72,3.1,113
Vacuum Cleaner,Home Appliances,4695.36,3.3,168
Backpack,Study Essentials,4760.93,5.0,81
Sneakers,Stylish Wear,27304.24,3.6,9
Bookshelf,Home Essentials,43462.42,4.6,51
Sofa Set,Home Essentials,35962.75,4.4,151
Refrigerator,Home Appliances,10572.27,4.1,149
Blender,Home Appliances,41510.99,4.7,191
Water Heater,Home Appliances,1451.19,4.3,16
Sunglasses,Stylish Wear,27509.43,4.6,40
Laptop,Study Essentials,32499.82,4.6,68
Backpack,Study Essentials,20600.71,4.2,78
Noise-Canceling Headphones,Study Essentials,37954.4,3.9,103
Laptop,Study Essentials,49448.84,3.5,46
Notebook Set,Study Essentials,1229.93,4.7,126
Sofa Set,Home Essentials,42638.71,4.6,199
Hoodie,Stylish Wear,45458.33,3.1,40
Electric Kettle,Home Appliances,4347.83,3.0,28
Hoodie,Stylish Wear,47693.13,4.4,5
Laptop,Study Essentials,31904.76,3.8,17
Leather Jacket,Stylish Wear,12654.44,4.3,154
Mechanical Keyboard,Study Essentials,17826.78,4.7,191
Dining Table,Home Essentials,32646.99,4.0,82
Leather Jacket,Stylish Wear,22561.82,3.9,23
Slim-fit Jeans,Stylish Wear,43640.01,3.4,179
Coffee Table,Home Essentials,15276.29,4.8,175
Formal Shoes,Stylish Wear,29999.95,3.3,175
Summer Dress,Stylish Wear,38797.53,3.7,116
Desk Organizer,Study Essentials,19592.63,5.0,182
Air Purifier,Home Appliances,1777.96,3.0,107
Desk Organizer,Study Essentials,12995.07,4.0,44
Microwave Oven,Home Appliances,39760.38,3.1,74
Bookshelf,Home Essentials,25586.34,3.0,33
LED Ceiling Light,Home Essentials,25009.02,3.0,5
Noise-Canceling Headphones,Study Essentials,43990.42,3.7,89
Electric Kettle,Home Appliances,47811.43,3.3,76
Wristwatch,Stylish Wear,27191.03,3.8,78
Washing Machine,Home Appliances,21129.61,3.6,99
Wristwatch,Stylish Wear,13476.76,3.0,119
Mechanical Keyboard,Study Essentials,26218.78,3.5,82
Refrigerator,Home Appliances,43068.03,3.1,99
Notebook Set,Study Essentials,45214.22,3.8,19
LED Ceiling Light,Home Essentials,40114.03,4.2,30
Laptop,Study Essentials,43368.08,4.0,190
Curtains,Home Essentials,13467.86,3.8,50
Dishwasher,Home Appliances,41458.8,4.8,17
LED Ceiling Light,Home Essentials,41054.88,4.1,173
Induction Cooktop,Home Appliances,43272.78,4.6,111
Rug,Home Essentials,24606.84,4.8,134
Slim-fit Jeans,Stylish Wear,9855.42,3.2,157
Wristwatch,Stylish Wear,18691.37,4.3,186
Bookshelf,Home Essentials,42962.28,3.2,132
Air Purifier,Home Appliances,29453.21,3.9,153
Refrigerator,Home Appliances,7242.51,4.0,85
Microwave Oven,Home Appliances,44995.79,4.8,49
Dining Table,Home Essentials,12768.65,4.6,144
Induction Cooktop,Home Appliances,22712.22,4.6,135
Mattress,Home Essentials,28338.22,4.2,196
Coffee Table,Home Essentials,3611.11,4.6,90
Desk Organizer,Study Essentials,2973.24,3.8,132
Water Heater,Home Appliances,3922.51,3.7,62
Sofa Set,Home Essentials,5732.22,3.9,37
Desk Lamp,Study Essentials,38132.15,4.3,104
Backpack,Study Essentials,11780.25,4.7,176
Dishwasher,Home Appliances,21571.13,3.9,102
Designer Handbag,Stylish Wear,48543.95,4.4,80
Noise-Canceling Headphones,Study Essentials,39729.95,3.1,104
Coffee Table,Home Essentials,7718.9,3.2,100
Mechanical Keyboard,Study Essentials,27009.7,3.6,54
Vacuum Cleaner,Home Appliances,8354.2,3.2,33
Electric Kettle,Home Appliances,31722.72,3.3,151
Ergonomic Chair,Study Essentials,24969.51,4.7,197
Dishwasher,Home Appliances,9953.19,3.1,30
Designer Handbag,Stylish Wear,8717.59,4.5,194
Refrigerator,Home Appliances,9608.18,4.5,12
Floor Lamp,Home Essentials,6892.71,4.4,69
Leather Jacket,Stylish Wear,48671.9,5.0,60
Desk Organizer,Study Essentials,19508.81,4.8,158
Wristwatch,Stylish Wear,19609.4,4.4,61
Electric Kettle,Home Appliances,48951.43,3.2,185
Desk Organizer,Study Essentials,36775.43,4.4,147
Microwave Oven,Home Appliances,37175.55,4.7,33
Leather Jacket,Stylish Wear,37898.81,4.9,184
Floor Lamp,Home Essentials,13030.08,4.6,168
Electric Kettle,Home Appliances,10970.93,3.2,110
Dining Table,Home Essentials,15973.83,4.7,193
Desk Lamp,Study Essentials,33782.55,3.1,114
LED Ceiling Light,Home Essentials,32351.86,3.7,93
Refrigerator,Home Appliances,3094.33,4.5,99
Whiteboard,Study Essentials,1099.85,4.7,56
Formal Shoes,Stylish Wear,45046.69,3.4,58
Sneakers,Stylish Wear,14265.29,4.7,31
Ergonomic Chair,Study Essentials,35880.08,5.0,176
Dishwasher,Home Appliances,33603.01,3.9,103
Vacuum Cleaner,Home Appliances,48191.35,4.6,93
Wristwatch,Stylish Wear,17275.47,4.1,152
Sofa Set,Home Essentials,41200.18,4.2,104
Electric Kettle,Home Appliances,39420.23,3.3,93
Vacuum Cleaner,Home Appliances,3049.97,5.0,200
Notebook Set,Study Essentials,44048.69,3.7,39
Mechanical Keyboard,Study Essentials,29437.8,5.0,112
Backpack,Study Essentials,44823.1,3.3,162
Air Purifier,Home Appliances,37405.15,3.5,83
Washing Machine,Home Appliances,4094.84,4.9,173
Scientific Calculator,Study Essentials,46090.33,3.3,122
Mechanical Keyboard,Study Essentials,40208.4,4.3,50
Backpack,Study Essentials,37886.99,4.9,161
Sportswear Set,Stylish Wear,38786.6,4.9,170
Noise-Canceling Headphones,Study Essentials,37904.43,3.0,195
Blender,Home Appliances,16580.43,4.2,49
Washing Machine,Home Appliances,47297.08,3.1,103
Washing Machine,Home Appliances,49207.42,3.3,12
Sneakers,Stylish Wear,24727.59,3.6,113
Electric Kettle,Home Appliances,16615.7,4.6,193
Washing Machine,Home Appliances,14229.95,4.9,56
Electric Kettle,Home Appliances,3710.93,3.1,104
Laptop,Study Essentials,18019.85,4.1,175
Laptop,Study Essentials,19094.92,3.6,153
Rug,Home Essentials,23971.27,4.9,63
Microwave Oven,Home Appliances,26244.49,4.6,183
Summer Dress,Stylish Wear,42219.6,4.3,47
Sunglasses,Stylish Wear,18479.76,3.0,109
Summer Dress,Stylish Wear,8946.75,4.1,150
Sportswear Set,Stylish Wear,34127.55,4.3,105
Mattress,Home Essentials,17914.06,3.8,182
Wall Clock,Home Essentials,5878.54,3.7,79
LED Ceiling Light,Home Essentials,18411.67,3.7,118
Sneakers,Stylish Wear,14984.26,4.5,103
Mattress,Home Essentials,25516.64,3.7,170
Formal Shoes,Stylish Wear,12354.34,4.5,25
Curtains,Home Essentials,32227.29,4.8,63
Electric Kettle,Home Appliances,42479.13,3.6,106
Dining Table,Home Essentials,28508.25,3.4,156
Backpack,Study Essentials,1385.36,4.9,152
Induction Cooktop,Home Appliances,697.74,3.6,67
Backpack,Study Essentials,25408.58,4.0,164
Curtains,Home Essentials,28052.15,3.2,81
Summer Dress,Stylish Wear,40605.61,4.6,148
Desk Organizer,Study Essentials,2721.72,4.3,43
Formal Shoes,Stylish Wear,14188.4,3.2,156
Scientific Calculator,Study Essentials,10105.45,5.0,150
Air Purifier,Home Appliances,24929.03,3.2,15
Designer Handbag,Stylish Wear,22698.89,3.2,37
Floor Lamp,Home Essentials,32247.54,3.3,62
Scientific Calculator,Study Essentials,24391.7,4.5,20
Hoodie,Stylish Wear,16751.18,4.4,154
Backpack,Study Essentials,4540.14,3.7,67
Curtains,Home Essentials,21958.39,4.4,188
Induction Cooktop,Home Appliances,30954.06,4.7,186
Designer Handbag,Stylish Wear,9804.73,3.1,12
Bookshelf,Home Essentials,17055.44,4.6,186
Washing Machine,Home Appliances,37022.32,4.0,122
Vacuum Cleaner,Home Appliances,28330.26,4.8,46
Sofa Set,Home Essentials,28681.42,4.2,198
Induction Cooktop,Home Appliances,7952.43,5.0,18
Designer Handbag,Stylish Wear,8688.77,3.4,125
Vacuum Cleaner,Home Appliances,15968.76,3.7,164
Designer Handbag,Stylish Wear,23956.07,3.1,138
Notebook Set,Study Essentials,10187.31,3.6,147
Leather Jacket,Stylish Wear,1099.34,3.0,185
Refrigerator,Home Appliances,43386.85,4.8,73
Desk Organizer,Study Essentials,9878.81,4.6,155
Sportswear Set,Stylish Wear,44568.89,3.3,158
Wristwatch,Stylish Wear,33987.6,4.5,77
Desk Lamp,Study Essentials,16146.39,3.1,17
Scientific Calculator,Study Essentials,22741.45,3.8,86
Leather Jacket,Stylish Wear,30811.1,4.7,151
LED Ceiling Light,Home Essentials,7464.52,3.9,74
Induction Cooktop,Home Appliances,9526.16,3.8,159
Blender,Home Appliances,5757.4,5.0,110
Water Heater,Home Appliances,24683.52,3.8,81
Air Purifier,Home Appliances,38190.44,4.4,61
Water Heater,Home Appliances,21330.06,4.9,117
Backpack,Study Essentials,34280.64,3.3,162
Floor Lamp,Home Essentials,20263.9,4.3,135
Mechanical Keyboard,Study Essentials,2414.43,3.0,37
Electric Kettle,Home Appliances,40222.54,3.2,118
Sunglasses,Stylish Wear,44680.41,4.4,158
Blender,Home Appliances,8096.75,4.5,173
Formal Shoes,Stylish Wear,10966.13,3.9,101
Rug,Home Essentials,23049.21,3.4,25
Mattress,Home Essentials,14796.2,3.9,172
Rug,Home Essentials,40906.0,3.2,17
Bookshelf,Home Essentials,28621.95,3.9,77
Vacuum Cleaner,Home Appliances,39364.47,4.7,24
Hoodie,Stylish Wear,41724.93,3.8,149
Washing Machine,Home Appliances,33415.17,3.5,159
Whiteboard,Study Essentials,3219.72,4.5,186
Microwave Oven,Home Appliances,11928.41,3.1,179
Wristwatch,Stylish Wear,2548.01,3.0,119
Desk Lamp,Study Essentials,17838.19,4.0,33
Mattress,Home Essentials,46028.12,4.3,135
Sportswear Set,Stylish Wear,6125.81,4.4,70
Sofa Set,Home Essentials,43501.34,4.6,7
Floor Lamp,Home Essentials,32542.41,3.8,30
Whiteboard,Study Essentials,43737.11,3.1,181
Desk Organizer,Study Essentials,4033.91,3.9,165
Formal Shoes,Stylish Wear,22731.28,4.4,64
Summer Dress,Stylish Wear,34015.37,4.6,137
Desk Organizer,Study Essentials,16292.77,4.3,148
Scientific Calculator,Study Essentials,46406.59,3.9,172
Sportswear Set,Stylish Wear,49404.92,4.4,55
Laptop,Study Essentials,41467.76,3.1,108
Sneakers,Stylish Wear,33658.89,3.3,63
Desk Organizer,Study Essentials,30264.37,4.7,140
Laptop,Study Essentials,31427.54,4.4,187
Mechanical Keyboard,Study Essentials,37956.03,4.5,75
Slim-fit Jeans,Stylish Wear,638.2,3.5,23
Blender,Home Appliances,38969.3,4.3,133
Desk Lamp,Study Essentials,17916.5,4.5,20
Noise-Canceling Headphones,Study Essentials,39544.25,4.3,173
Desk Organizer,Study Essentials,622.07,3.9,131
Backpack,Study Essentials,28211.47,3.8,33
Mattress,Home Essentials,25731.59,4.8,21
Vacuum Cleaner,Home Appliances,19066.26,4.6,181
Electric Kettle,Home Appliances,42771.4,3.6,113
Rug,Home Essentials,3720.79,3.0,191
Designer Handbag,Stylish Wear,16235.81,3.5,198
Scientific Calculator,Study Essentials,15612.24,3.4,52
Formal Shoes,Stylish Wear,44545.35,4.7,75
Wristwatch,Stylish Wear,6282.08,4.1,15
Ergonomic Chair,Study Essentials,19560.0,4.0,120
Scientific Calculator,Study Essentials,26234.25,3.1,17
Air Purifier,Home Appliances,23862.13,4.3,68
Wall Clock,Home Essentials,15935.01,4.0,67
Dining Table,Home Essentials,31664.52,4.3,118
Slim-fit Jeans,Stylish Wear,33877.31,4.2,116
Hoodie,Stylish Wear,20633.64,3.4,159
Sneakers,Stylish Wear,1218.8,4.2,153
